id,pr_number,user,created_at,body,codebert_sentiment_label,codebert_confidence
338393799,96,clefebvre,2017-10-21T13:16:41Z,"can you explain [a link] other than that, everything looks good. do we really need to include a list of symbols in the git tree? that content will be obsolete with every new build.. and it looks like it could very well be generated automatically.",0,0.8046249747276306
338423313,96,Fantu,2017-10-21T18:36:28Z,"if is not mainteined good probably is better avoid it, if you want remove 651175e commit. the content need to be updated only if some api will be added/modified/changed and can be useful to understand if the abi need to be dumped",0,0.9823233485221863
376582692,96,Fantu,2018-03-27T16:10:13Z,probably i'll rebase this in few days and i'll other improvements from debian about migration to meson can be good use debhelper from stretch-backports instead some manually addition? (ubuntu 18.04 already have debhelper updated with meson support) i'll try to split all changes in different commits with good descriptions,0,0.9752525091171265
376912890,96,Fantu,2018-03-28T14:44:51Z,"rebased and add some other improvements and small fixes, if you don't want commit ""bump version to 3.7.0 for testing"" remove it also tested build [a link] other important improvements are needed but i suppose is not possible now, for example i not understand if you still want support s.o. older that stretch and bionic some other possible improvement not done for now: - meson support without manual addition for basic build support using meson require debhelper>=10.3 newer from backport should be also better; migrating dh compat from 9 to 11 make possible also other small improvements and for what i saw few days ago also helped to found a partial build error where on dh 9 of same packages before continued anyway - as spotted also by lintian: debian-control-has-obsolete-dbg-package (same of all other packages), tell me if will be possible switch to -dbgsym",0,0.9712932109832764
379461647,96,Fantu,2018-04-07T11:08:37Z,"now that i had confirm of mint18 support dropped i added other improvements, i also tested build on stretch: [a link]",0,0.9430763125419617
381614765,96,clefebvre,2018-04-16T14:16:50Z,all merged except for version bump.,0,0.991855263710022
99117632,43,jlu5,2015-05-05T15:33:32Z,why? the package name is supposed to match the library version.,0,0.9482643604278564
99169730,43,monsta,2015-05-05T18:29:54Z,"can tell you how it caused installation problems on his machine. besides, the lib api version already was 4 - which didn't match the name.",0,0.9853280186653137
99171426,43,jlu5,2015-05-05T18:32:55Z,"was the one who committed 01d5fec, which is reverted here.",0,0.9918274879455566
99179599,43,monsta,2015-05-05T18:51:40Z,"i know, and that was a hack, and i already asked him if this pr solves the issue.",0,0.788615882396698
99221538,43,jlu5,2015-05-05T21:06:45Z,"oh, i see.",0,0.9513055682182312
107020968,49,clefebvre,2015-05-30T10:57:14Z,"hi leigh, we need more than that to change it. can you find out if that fixes/breaks anything? does it detect your screen vendor info better with that change for instance?",0,0.7006056308746338
107028243,49,leigh123linux,2015-05-30T11:38:43Z,"to be honest it doesn't make any difference to my desktop pc, it shows 'iiyama north america' with or without it. my lenovo shows 'laptop' with or without it.",0,0.9617354869842529
107856820,49,clefebvre,2015-06-02T08:21:44Z,ah well then :),1,0.9956415891647339
107866004,49,leigh123linux,2015-06-02T08:42:16Z,so your going to keep the meaningless one with all the fedora and redhat git refences :sunglasses:,-1,0.8713884949684143
107877808,49,clefebvre,2015-06-02T09:09:50Z,yes.,0,0.9818659424781799
1919275018,237,mtwebster,2024-01-31T14:57:56Z,"would this workflow be better off as part of our auto-builds (see [a link] rather than adding it to every repo? they get triggered for prs as well. it wouldn't be on ubuntu-latest container, but i still think it would do the job off mint/lmde images.",0,0.9912371635437012
1919470303,237,Fantu,2024-01-31T16:32:35Z,if will not be a problem to manage exclusions of any repository in it can be better. small note: it works only for pr this action. if you want to do it you can start with the action from here but add also the exclusion from [a link] so will be: [code block] and from my pr cherry-pick the other commit with the fixes done after on new pr of other components will appear many spell error detected and also other possible things to exclude anyway with `only_warn: 1` don't fail the tests so don't force contributors to resolve errors already present but at least warns inline in the changed code and under the first errors in the one not changed by the pr,0,0.9768789410591125
1939476094,237,mtwebster,2024-02-12T20:06:07Z,"ok, i added codespell to our ci: [a link] tested on this repo: [a link] i fixed the file in cinnamon-settings-daemon so we don't need to exclude 'tyes'. let me know if anything doesn't look right. if exceptions ever become an issue we can still specify them per-repo (add another input [a link], like `dependencies`). want to update these prs with just the spelling corrections? thanks",0,0.5574018359184265
1942153913,237,Fantu,2024-02-13T18:28:48Z,"inserting it into the build job currently runs it 3 times, it would be better to find a way to run it only once, then i think it would be fine to keep it ""global"". i updated my 2 pr keeping only typo fixes. looking c-s-d codespell needs to add `,*.svg` (can be useful also in others repo) and `,requestor` to ignore_words_list",0,0.9764243364334106
1948655802,237,mtwebster,2024-02-16T15:40:03Z,"ok i made a few more changes: [a link] - it only runs on one machine now - you can specify per-repo words/files to skip, in addition to the 'defaults' (changelog, .po, etc...) this way someone opening a pr can add to the repo ignore lists instead of us having to update our github-actions every time. edit: i used xapp to test per-repo stuff: [a link]",0,0.9762997031211853
830140426,193,mtwebster,2021-04-30T14:38:33Z,please test more.,0,0.9864951372146606
830196687,193,ItzSwirlz,2021-04-30T16:02:32Z,will do then if it's better i can test two different computers since it's available. you may be wondering what the hell is going on with the cash crap and that's because compiler complains so i didn't want to introduce something annoying,-1,0.974780797958374
25814302,3,clefebvre,2013-10-07T14:45:55Z,when does it fail?,0,0.9357635974884033
25815055,3,leigh123linux,2013-10-07T14:54:10Z,the bug is marked private for some stupid reason [a link] [code block] backtrace [a link],-1,0.7907626628875732
246603469,70,maxyz,2016-09-13T07:52:21Z,"this is caused by my update to the autogen.sh, that i was sure it was being run by debian's dh_autoreconf, but it isn't. i'll need to review the gnome-macros pull requests. anyway, why no using the canonical optional gtk-doc? (as documented here: [a link]",0,0.9695202112197876
246608645,70,itzexor,2016-09-13T08:15:29Z,"i just copied over the same fix that was applied in cinnamon-screen saver a month ago. btw and i don't use debian-based distros, we are just trying to get it to build successfully as it did before just running autogen.sh and make. [a link] edit: this is the output of ./autogen.sh without this patch: [a link]",0,0.9639551043510437
246641042,70,maxyz,2016-09-13T10:31:32Z,"that's what i meant. i've only tested this in debian that's ignoring the autogen.sh script, my mistake. about the macro, i would strongly suggest the use of canonical rules whenever possible, it's hard enough to maintain the auto\* stuff as to having to review minor differences for common patterns.",0,0.8843351006507874
262498995,80,clefebvre,2016-11-23T12:19:24Z,can you review this pr?,0,0.9891285300254822
262499773,80,mtwebster,2016-11-23T12:23:41Z,"i've had it merged on my local branch for a while, was just working on fixing fingerprint support. i'll merge it now though.",0,0.9786810278892517
262500799,80,clefebvre,2016-11-23T12:29:13Z,tx :),1,0.9856497645378113
1033523929,204,Fantu,2022-02-09T09:09:10Z,from ci builds fails seems there is file missing: `schemas/meson.build:32:2: error: file org.cinnamon.desktop.peripherals.gschema.xml.in does not exist.`,0,0.9916096329689026
1033673959,204,mtwebster,2022-02-09T11:46:17Z,"fixed, sorry",-1,0.9930272698402405
1118926119,204,Fantu,2022-05-05T18:40:24Z,"i prepared a rebase solving a small conflict, if you want use it: [a link]",0,0.9857558608055115
46093787,13,Fantu,2014-06-14T17:13:36Z,: also this fix and update po/potfiles.in,0,0.9881390929222107
46094495,13,mtwebster,2014-06-14T17:42:11Z,ack - looking at the diff hangs firefox pretty good :),1,0.993876039981842
265129195,82,clefebvre,2016-12-06T11:39:31Z,"cool, can you confirm this is fine with fedora?",1,0.8385612368583679
265130405,82,leigh123linux,2016-12-06T11:46:02Z,looks good to me.,1,0.9415649175643921
377015318,105,marmistrz,2018-03-28T19:55:47Z,ping,0,0.9308286309242249
381567287,105,clefebvre,2018-04-16T11:26:23Z,"as the key is only used in csd (and the other pr is still being dicussed, please put it in [a link] instead).",0,0.9937851428985596
381425205,111,Fantu,2018-04-15T17:57:54Z,build tested here: [a link],0,0.9889211654663086
381615145,111,clefebvre,2018-04-16T14:18:06Z,"stretch has debhelper 10, so i don't think we'll depend on 11. everything else (except the version bump) was merged.",0,0.9789217114448547
808424746,185,ItzSwirlz,2021-03-26T18:17:44Z,just saying by the way-can we rename gvc files to 'cvc'? this isn't gnome's thing this is ours.. we're branching from them. if we are going to branch/fork then make it our own. just an idea.,0,0.8826538324356079
808702036,185,Fantu,2021-03-27T09:32:08Z,i think is good don't rename when not necessary to make easier/fast rebase/cherry-pick from origin (of fork) when needed,0,0.9212602376937866
1919220175,236,mtwebster,2024-01-31T14:30:49Z,"96ae2a514a1ff0effe1181db47ff26b5e1267ad the 'deprecated_warnings' is a typo, which is why you were getting this error.",0,0.9858198165893555
2477012699,245,mtwebster,2024-11-14T17:26:50Z,merged - [a link],0,0.9885736703872681
58702157,11,mtwebster,2014-10-10T19:07:30Z,was manually merged,0,0.974045991897583
32080881,7,Frogging101,2014-01-11T00:39:43Z,"it still locks up, rarely. i'm closing this until i've fixed it for sure.",0,0.574024498462677
124238095,53,gerow,2015-07-23T20:56:48Z,relevant pr from cinnamon-settings-daemon: [a link],0,0.982032060623169
59355637,23,leigh123linux,2014-10-16T12:49:00Z,closes [a link] and [a link],0,0.9922290444374084
139856907,51,leigh123linux,2015-09-13T09:40:38Z,"why is this needed?, i have no issue building c-d with make without this change.",0,0.9336419105529785
234212619,67,maxyz,2016-07-21T10:10:47Z,something went wrong here. this patch breaks the build. i'll fix it. done.,0,0.8780332207679749
260606810,79,leigh123linux,2016-11-15T10:36:17Z,mint also uses usr/include/cinnamon-desktop/libcvc [a link],0,0.9931361675262451
265716521,83,leigh123linux,2016-12-08T11:16:27Z,should address [a link],0,0.9929653406143188
433369379,112,clefebvre,2018-10-26T10:52:42Z,"i'll close this, we're staying with dh10 in lmde 3.",0,0.989639163017273
414191278,119,collinss,2018-08-20T04:00:49Z,"can you please explain why this is a good idea? if you build this without introspection, i don't know if cinnamon will even work at all, but if it does, many important parts of it will definitely break (ie. calendar, sound, keybindings, to name a few). also, if you don't have gobject introspection in general, that breaks pretty much everything.",0,0.917246401309967
526105667,130,leigh123linux,2019-08-29T09:30:33Z,fixes these build warnings. [code block],0,0.9914318323135376
554092534,133,deskwizard,2019-11-14T21:40:18Z,closed as requested.,0,0.9868139028549194
547451613,134,schachmat,2019-10-29T14:36:08Z,ping. can i get a review for this patchset? i'm hoping to get this in before cinnamon 4.4.,-1,0.6637523770332336
564500880,141,clefebvre,2019-12-11T11:33:35Z,"the bug is valid, but there's two issues in the pr: - we should always use dgettext.. and never return format_string.. that's the actual bug. - dcgettext can't be used, it fetches the translation from /usr/share/locale/$language/lc_time/cinnamon.mo... what we want is the opposite, we want /usr/share/locale/$lc_time/lc_messages/cinnamon.mo. superseded by [a link]",0,0.9615921974182129
732421905,174,ItzSwirlz,2020-11-23T20:57:40Z,err... with buster this sort of leaves us a *bit* behind... it's why lmde 4 failed (dependencies) we can either branch or just close this. i'll leave it to you guys,-1,0.9124245643615723
773365387,178,mtwebster,2021-02-04T14:48:57Z,"i don't want whitespace commits, all they do is pollute git blame/history. we correct whitespace issues around other changes only.",0,0.5614920258522034
1145172386,196,ItzSwirlz,2022-06-02T18:17:52Z,"with the likely upcoming muffin rebase, i feel like holding this off.",0,0.8656623363494873
1159263539,207,mtwebster,2022-06-17T22:05:39Z,oops - thanks!,1,0.9734512567520142
