message,is_toxic
Would the FK be a FK into the Tenant table? If so then maybe call it tenant instead of project.,0
"this ends up looking pretty weird, perhaps you want to say parts = swift_utils.split_path(...) version, account, container, obj = parts",0
"This part name should be ""network_agent.py"".",0
"Hang on, all new APIs should be async",0
"More idiomatic might be printf 1 > ... || die ""Config update failed. ret=$?"" But this is fine too, submitting as is since it's just a cherry-pick after all.",0
Useless I think,0
"you call local.Close in a goroutine on L21, but do you need to have a ""defer remote.Close()"" after this line to make sure it's closed?",0
"Looks like you have a bad rebase because _live_migration_copy_disk_paths only takes a single argument now, so we have this in the multinode jobs for live migration testing: ",0
Shouldn't you let start.sh run keepalived?,0
"you don't need 'if' here, because default value is $::os_service_default",0
"let's use assignment i.e. s Cell String = a Cell.ma Base Cell.get String(p Doc), which looks nicer.",0
"Please use $(TARGET_OUT_INTERMEDIATES) and $($(TARGET_2ND_ARCH_VAR_PREFIX)TARGET_OUT_INTERMEDIATES), to take care of both obj and obj_arm in case of multilib bulid.",0
"use a redirect, no need for redirectmatch.",0
"Should probably put ""adb shell"" in front of this, since it will likely be cut-n-paste'd.",0
"style: these braces aren't needed - to match surrounding style, remove them.",0
Column network_profile_id is missing with fk on it.,0
"I think there can be other options explored, this is obviously the easier one, but the one that will yield the least amount of result, at least in the short term. What about spinning off API/DB and go the bold way...: what if we change the architecture completely and introduce a neutron-api server, we introduce neutron-conductor, perhaps a scheduler and have the rest of the server (ie. the plugin) be its own worker(s), just like nova-compute is? I guess we could do this as a follow-up step, so don't mind the crazy guy who makes a fool of himself.",0
Detach slave instance,0
Can you kill this extra chars line,0
it should be Port Pair..destroy() then (a method name starts with a dot),0
Drop all the sections below,0
"If you allow using nullptr for Decode Variant, then you wouldn't need to deal with these dummy variables.",0
Why is this an Int Ptr Constant? Should it not just be an Int32Constant?,0
"Ok, talked on IRC and we don't a great solution for this. Perhaps if conductor start starving workers we need to tune up the workers_pool_size value.",0
stupid me,0
"I see. I didn't realize Layout() was actually checking |location_bar_|, with the stated purpose (per comment) of waiting until post-init. That does make it more appealing than I'd thought to use that. It also avoids any possibility of a startup perf regression due to doing unnecessary Layout() here. What if we just changed that initial Layout() conditional to check something slightly different? The most obvious would be a new boolean member |initialized_|, less obvious would be ""some kind of condition that is only true after the home button is initialized"" or the like. The latter is kinda fragile against future reorderings, though, so I don't mind the explicit member.",0
I think it's fine to leave these as such for now. Good idea about changing Get String Option; I'll take a stab at it.,0
"Might be nice to check and make sure this is a tuple or list in case someone does something silly like api: ""user_create""",0
"Dumb question: return error here or not (currently not). Seems to me this is okay, because the only place that cares at all is the replicate Handoff() and that one should continue to work as long as the number of insyncs returned is zero, which it is here. Just wondering if this was considered. Maybe no need to log here if returning an error.",0
why not pass ' '.join(kernel_args) in one grubby call?,0
nit: I'd call this agent_az.,0
"I would like to see a test with utils.execute(.., run_as_root=True) but root_helper config is None. That should cause processutils.execute(.., run_as_root=False). (Because the code in ironic-lib will call utils.execute(., run_as_root=True) so we want to show that this change handles that case.)",0
"Invalid Data is a subclass of Validation Exception, so it wouldn't be missed.",0
"Mohammad, Is it easy to do what we're doing in this test with mocks, i.e. return a fixed value? If so, mocks seem fine. If not, I'd stay with fakes.",0
"Based on HACKING, the zmq import should come after this next section of stdlib imports",0
you should normalize power_role and data_role ie: !!power_role,0
"I think* this code suggests that video.request Picture In Picture will hit DCHECK when video.src = null is called. I'm not sure. What do you think? Script Promise HTMLVideo Element Picture In Picture::request Picture In Picture( Script State* script_state, HTMLVideo Element& element) { ... Script Promise Resolver* resolver = Script Promise Resolver::Create(script_state); Script Promise promise = resolver->Promise(); document.Get Task Runner(Task Type::k Media Element Event) ->Post Task( FROM_HERE, WTF::Bind(&Picture In Picture Controller Impl::Enter Picture In Picture, Wrap Persistent(&controller), Wrap Persistent(&element), Wrap Persistent(resolver))); return promise;",0
This should be wrapped in a try/except block.,0
"It seems dumb that we even have a CLI for a thing that the nova API doesn't support, we should probably have a separate patch to deprecate or just remove that CLI since it's busted.",0
useless comment?,0
Should these be nodebugwaitattach instead? You really don't want conflicting names for your packages.,0
"Let's eradicate the black magic: stdout, stderr = utils.execute('chroot', chroot, 'dpkg-query', '-W', '-f=${Package} ${Version};;') pkgver_list = stdout.split(';;')",0
NO_EDID is an Edid object.,0
Nitpick - TODO is supposed to be followed by a colon,0
"make it consistent with above by using ""ifeq ($(BOARD_BVB_ENABLE),true)""?",0
This sholud be True/False enum like const.EA_CLOUD_API_OWNED.,0
u.to_wrapped_dict is more appropriate here,0
"Opps, will kill that",0
"I hoped to be able to output log messages, which isn't possible at the moment. It seems a bit cleaner to kill off your goroutines before falling off the end of main. I am not sure whether ""go"" does anything there. Anyway I have removed for now.",0
"Maybe I'm an idiot but in this command you become the stack user, and in the next you are root? Seems to be a disconnect here, why are you switching to the stack user if the next thing you do is as root? Or is stack root?",0
Have I mentioned that self hrefs are retarded?,0
isn't this get by template_uuid? provider_resource != template_uuid,0
"That way, ""arg"" can default to ""NULL"", and we don't need to specify it in most of the XML files.",0
Why do you need utils.h in the oat_file.h? I think it should be in oat_file-inl.h.,0
Realized essex should be removed.,0
This should be a warning or info msg.,0
"explain the purpose in a comment, please. to clear it for such stupid guys as me",0
UIDev Tools DOMAgent* const dom_agent_;,0
i think we should just kill display_name here all together as it's pretty useless.,0
"For any new tests, please use mock instead of mox.",0
IMO new line with a backslash should be removed.,0
"Isn't this mocking more than was originally there? That is, instead of mocking _get_guest_xml as a unit, you're now mocking every little piece inside of _get_guest_xml and letting it call down instead. Is that what you intended? Edit: I'm clearly late to this party, so feel free to ignore me. I would have thought _get_guest_xml would be tested by itself as a unit and then mocked everywhere else. I'm guessing the old testing was using a faulty dummy xml which was hiding the bug.",0
Dumb instinct tells me this should inherit from Forbidden. Can you help me understand why that is not the case?,0
"Due to we didn't validate with keystone and we haven't user_name in target, os-username is useless.",0
just to confirm. Asynchronous Destroy() is ok in VD?,0
"I think that bare-precise not contains the required php5-packages. /modules/jenkins/manifests/slave.pp: $standard_packages = [ .. $::jenkins::params::php5_cli_package, # for community portal build ... if ($bare == false) { $packages = [$common_packages, $standard_packages] } else { $packages = $common_packages } ...",0
nit: useless,0
this retry= should be removed.,0
"Without this, I get make: *** No rule to make target `linker', needed by `all_modules'. Stop. An empty ""linker:"" does not build the symlink at all.",0
"Please consider os.kill(pre_reload_parent, signal.SIGHUP)",0
"Aha, stupid me :(! Updated the patch to use the structure directly. Thanks",0
sorry...again...I mean test self.host_manager.default_filters,0
"We already have the 'api' group, why register it again? just do: CONF.register_opts(YOUR_OPTS, group='api')",0
"replication_targets should be reported as a capability, so you can do a 'cinder get-capabilities ' to see the targets you can failover to",0
paren should not be needed here,0
Let's capitalise it to be consistent.,0
below you use art_build_path defined above. seems like you should nuke it entirely or use it consistently.,0
We should remove L18 to keep proper import order.,0
"This again is mixing uint and int. I think we should fall on the side of uint, because level isn't something that can be negative (but maybe I am just a performance-hating pedant). Anyone else have an opinion on int vs. uint?",0
please give me a big fat readme to indicate my purpose and how i'm supposed to be used.,0
the 2Kb is an invaild hugepage size i would remove (i.e.: 2k B),0
Usually the pollsters in Ceilometer interface directly with the python client. Is that going to be case as well? Does Ceph has a python client ?,0
quote all the variables/paths add `|| die` to the end of this,0
[nit] gatbage->garbage,0
Just a nit pick but remove should be remove. Not patch worthy,0
remove this as we shouldn't reach this if not supported and you already have DCHECKs in Get Buffer Config.,0
Useless.,0
"Ill caveat this with I am a C++ idiot, but why are we not using static_cast here?",0
"The 'else' branch here is usually where we execute native plexxi actions, i.e. actions that are implemented in the plexxi libraries. But the way the rest of the driver is written, that's hard to do right. They import 10 different classes (Affinity Group, Job, Physical Port, Plexxi Switch), each of which has actions that could be executed. So the 'else' branch here isn't going to work. I'd probably get the bug fixed first and then think about whether it's worth exposing all the native plexxi actions. So you could get away without the 'else' branch here and leave a TODO saying something like what I explained above.",0
How about: if ((Opts.m Target API < 21) || (Opts.m Bitcode Storage == BCST_CPP_CODE)) Opts.m Emit3264 = false; if (Opts.m Emit3264) Opts.m Bitcode Storage = BCST_JAVA_CODE;,0
"Don't we want to remove this, if we're going to disable gen2? Also, I think either make this a DT quirk flag, or we kill gen2 entirely upstream.",0
"Make sence to me, I'll collaps them into single method then.",0
"oatlastword is supposed to be the end of the oat content. seems like that should move here, or we don't need oatbsslastword",0
Router Interface.ROUTER_ID?,0
Done. I will include your suggestion in the next patchset.,0
"You're not dumb, I forgot to fix up this file too. I've also renamed it to clarify what it does better.",0
Why can't you include complex.h for all of these externs? The definitions look like they are in there.,0
"useless, this line could be removed",0
... continuing comment from left side L118 -- implement this in each driver instead,0
"if we remove 'ironic_driver' from extra_specs, this should be removed too.",0
whitespaces are bad,0
My git fu is weak; i'll put these back.,0
this impost should be below,0
"Breaking this out into a separate ""Trailing Garbage"" test.",0
this die is not needed -- emake will already abort,0
Use `restart_service knot`,0
Annotate with @Not Null.,0
"Kiall, after a lot of investigation, we found the better way to add tracing to all RPC services, without this dirty hack. We can just add metaclass to base Manager class, which I am going to do now.",0
"Are you sure you want white here, and not transparent?",0
avoid short names like this. You can call this out_register,0
These probably shouldn't be nullable.,0
Please put this between host7 and host11,0
this line is useless since you're not using tmp2_m (it's overwritten at line 651 below),0
Nit: put this after Net Bendingmarking to preserve lexicographic order.,0
should this be destroyed somewhere?,0
"I'm not sure how useful this test really is... I mean, the call could return 200 OK, with a body of {""this"": ""is all junk""} and it would pass this test...",0
tenant.ping_rule = ping_rule,0
"you can use: if self.baymodel_attr and getattr(bymodel, self.baymodel_attr, None):",0
I've just realized that this is here. This declaration is trash: it was moved to the wrapper above and I forgot to delete it here. It will be gone in the next patch set.,0
"Please, remove backslashes where possible.",0
mox should be down a section,0
this reads a little odd ... why not just invert the if's and do this in the one block?,0
I think _LE should be used here.,0
"It'd totally be cached by ID in SQLAlchemy though, if only we could convince people to just do a get() instead of a freaking SQL query every time.",0
nit: I think this should be just another bullet point to join the above list,0
node_power_action is already mocked by L141 -- why are you mocking it again here?,0
Why is this default being changed? It does seem to be a dumb option - to boot. Why would you enable the API extension then disable the driver. LOL WUT?,0
I think we need to kill server even if tests are failed.,0
i think you can leave these two out. (they have to be included by their mocks.),0
these docstrings are the same as above. In general the test names are clear and I would remove all of the doctstrings,0
Because for frameworks I use a dumb one...,0
It's not necessary to mock a value like this. What's wrong with this? self._driver._hostname = 'some-ip',0
you don't actually need these has Child Nodes() calls; the DOM will return a (shared) empty node list for you. Avoids extra nesting.,0
"Useless, v5.0.0 must have version 2.0.0",0
shouldn't this just be in the try block?,0
You don't have to redefine this - just use update Share Metadata Request Parameter in the WADL.,0
"that's just silly. if we really worried about that, we would also include the date and the log tag and the fact that this is of class error!",0
"return ""/"".join([ self.dbaas.client.service_url, self.configuration_id, ])",0
Do you need to run the kill(.sh) script here to kill apache? Might be better to kill apache before starting the netcat above.,0
Great,0
"Oh yeah, I refactored/rewrote this a bunch of times and didn't notice afterwards that it could be collapsed.",0
"I think you're just missing my point, or I am stupid enough to be unable to convey it properly.",0
Remove six.text_type as the logger will do that if and when needed.,0
This should be an Invalid Schema Error.,0
IIFE is malformed.. should be })();,0
This should be defined on the command line. Upstream this is handled by Handle LLVMOptions.cmake,0
"Yes, just store by value instead, i.e. RTCUIApplication Status Observer* application_status_observer_;",0
Everything below here should be in mapped_data:,0
I think this word should be removed.,0
"Neutron should be lowercase. Also, suggested to add a link to the graphic.",0
Do you think we should ass this to Base Test Case? I see that this will be repeated for every Controller.,0
This method should be removed.,0
"missing space: ""..._DIR; git...""",0
accessing ma Value needs to be protected against data races,0
extra white space should be removed,0
this is the deploy's cleanup method. should there be a different/new method for cleaning up after a failed inspection attempt?,0
ok. I will remove those from the comments.,0
"When I'm using openocd, I have to kill the openocd command, otherwise it keeps running in the background.",0
The instance.host and instance.node should be cleared before calling instance_claim or warning logs will be generated.,0
Please set up lower bounds,0
"Again, we should define CONFIG_CODERAM_ARCH for mec1322. If it's crashing for some reason then let's investigate that, not add this hack.",0
"actually, should get rid of format_map.py and just use Trust Token Formatter.token_format rather than format_map.TRUST_TOKEN_PREFIX.",0
whitespaces! Kill them all!,0
"Actually, it should be Snapshot Not Found, which like Share Resource Not Found is a subclass of Storage Resource Not Found.",0
@jakub bug in pymod2pkg python-subunit should not be transformed into python-python-subunit for fedora/RHEL/Cent OS,0
Please remove unnecessary white spaces.,0
"My Google-fu is weak today: what is a ""span""?",0
"This isn't a right place for a panic, when a different method of error handling would do the job (I.E. returning an err) ""real library functions should avoid panic.""",0
typo: instnace should be instance,0
__init__.py should be empty.,0
Maybe kill this extra space while you're here?,0
nit: I think '(' and ')' here are useless.,0
"Oh, you're right. I don't like these spaces, let me kill them :-)",0
So far I have been restricting this to just help strings to keep the scope down.,0
"if you get here, then a Tmp State == a State, so this assignment is not useful",0
this line needs to be removed.,0
Curious as to why the caller is not also making use of a flat_set,0
"Can we avoid exposing std::priority_queue here? I'm worried about calling methods on that, messing up our bookkeeping.",0
Shouldn't need this mock since there is a fixture that mocks it. Instead try: self.apt.read.return_value = resp,0
I will leave as it alone as I think a bullet is better than a single number one (1.).,0
Consider const create App = app_management.Fake Page Handler.create App;,0
"I'm not sure I understand this comment. I don't see this being done, so why do you say we have to? Also, why not just move that into build_toolchain.sh?",0
"Why store this as a bool, rather than using something like the `Web Content Security Policy Type` enum?",0
"throw new Null Pointer Exception(""stat Name == null"");",0
I thought it returned a list of tuples?,0
"Fortunately, it's simpler, because we don't even need the keyblock flags for vboot2.",0
"Shouldn't we reuse the stuff we have in silent_call? There is a logic which updates action logs [0]. Also I think we can reuse check [1] which we already have, by just inheriting new class `Check Before Deployment Task` as `Check Before Provisioning Task`. [0] [1] ",0
"(No action required) Code like this makes lisp's brackets look inviting. One would hope that dicts-as-objects are going to die in a fire someday soon, yes?",0
full vip_info should be passed here,0
I think you don't need both On Widget Clsoing and On Window Destroyed. Close or Destroyed should be enough.,0
nit: /* is Node JS */,0
Column network_profile_id is missing with fk on it.,0
Can you add 'from keystone.openstack.common.gettextutils import _' here? There is a review to get rid of the __builtin__ monkey patching: ,0
N324 jsonutils.dumps must be used instead of json.dumps,0
mock_get_instance_pci_devs.return_value = [],0
"Oops, must have killed that by mistake",0
"yeah... this shouldn't work at all, according to my understanding. maybe the flush is making this funky?",0
I would be great if you remove backslash and use parentheses here.,0
"just idle curiosity...but why is Neutron the only project experiencing this issue? I can see that every project does its own monkey business, so that makes me wonder if we'll ever get rid of this nonsense.",0
traitorous fingers ;P thanks for the +2 anyway,0
those should probably be @mock.patch.object instead.,0
.call() is still useless here. this[apply Method || 'apply Changes']() will work,0
"[[ -z ${...} ]] && die ... also, add this to the func while you're here: [[ $# -eq 0 ]] || die ""${FUNCNAME}: takes no arguments""",0
Please check the error message returned.,0
Done,0
"So you've removed the pinctrl for gpio4/31 from gpio_keys, but now it should be put here in the btmrvl node.",0
"For now, let's keep it like this, there's a discussion going on what to do with the naked C++ pointers.",0
"True, though any app doing work while installing a new split is insane. And if you're insane, there are already enough ways to crash yourself. The copy Of sounds like a good fix for this, though.",0
leading spaces should be removed,0
"ifneq ($(filter external/%,$(LOCAL_PATH)),) my_strict := false endif",0
dumb idea - but maybe we can set the ID here to be the ID of the cfg.CONF.nsx_v3.dhcp_profile_uuid - say someone wants to query all of the neutron ports assigned to this profile,0
Derp... last minute rename fail on my part.,0
"One issues is that this results in a bunch of 404 logs unnecessarily. This isn't a big deal, but what about just testing if the parsed_args.id is a valid UUID, in which case we treat it as a UUID, otherwise we assume it is a name and try to search for it? This way there's only one query either way, and no uneeded log errors.",0
Please use the Reg Exp Filter as Command Filter is the weakest of checks. Please see ,0
"Need a paragraph here about the fact that Open v Switch (or later, ML2) is only a choice, and you can see others options in the config reference. Similarly explain that GRE has been chosen over others.",0
useless,0
> hahahahahahahahahahahahahaha. Yaya... Gonna use set Timeout instead to cleanly trigger finalize Frame.,0
"openstack don't need sob in commit message, it should be removed.",0
#!/bin/sh # LICENSE .... ... why redirect stdout to /dev/null?,0
looks like this should be arg_to_elements $@,0
Useless if statement here. is_fp_promoted is guaranteed to be true in the else clause.,0
errno = ENOMEM;,0
"Probably not for this patch but we should put all these mocks in a class, so that the ON_CALLs are not duplicated and can be shared with d3d11_cdm_proxy_unittest and d3d11_decryptor_unittest.",0
"remove this since it's the same as line 51, just use resource_id.",0
the default for values.get should be None. I do not think that you need it here.,0
there's an open bug against this garbage being included in the token... REMOVE,0
ahhhh la virgola la virgola virgola lthe,0
Scene Result.ERROR_TIMEOUT,0
how about a helper define to make this a little less spammy ? #define __cleanup__(fn) __attribute__((__cleanup__(fn))) ... __cleanup__(close_file) FILE *f = NULL;,0
So stupid.... I forgot to do the most important thing.,0
Delete the white space.,0
"jesus, you're starting to make me think i have a brain tumor!",0
"The bigger problem here is using a local lock with a distributed cache. Locking should be pushed into the caching client, which can at least choose to get it wrong explicitly.",0
I think you need to set return_value: MOCK_REQUEST.return_value = FAKE_RESPONSE,0
"this is an Xtrem IO snapset not openstack object, the name is correct",0
silly nit but put this inside the if?,0
"member_count= self.projects_page.count_members(PROJECT_NAME) self.projects_page.add_member(PROJECT_NAME) self.assert Equal(self.projects_page.count_members(PROJECT_NAME), member_count+1) Instead of having constant.",0
Programmer humor must die in v3 API :),0
"This is called by add_nfs_export_rule and remove_nfs_export_rule. It is necessary because c DOT allows duplicate rules in each export policy, and the c DOT driver should remove such duplicates. I added assertions to each test that mocks _get_nfs_export_rule_indices.",0
this was a rename from the old Zip File Test that git didn't detect.,0
"Correct, they should be removed",0
Should have traits to be destroyed on the particular thread.,0
cros_build_lib.Die() again.,0
"boring, pedant nit: the unit test should verify correct assertion in all configuration setting. Perhaps this test should be execute with and without namespaces enabled.",0
This code moved (with some modification) to test_image_util.sh.,0
"Please remove this statement totally. pmanager.py itself is a big hack, which is going to be thrown away in the near future.",0
It looks to me like this is always going to be hit; see above.,0
"Do not import classes, import their module. i.e.: from cinder.tests.unit.volume.drivers.emc.scaleio import mocks as scaleiomocks Then later: scaleiomocks.Mock HTTPSResponse",0
"please don't use add Cleanup with mocks, set mocks either via @decorators (better) or via context managers",0
Scope creep: It seems like this whole if block should just use die().,0
"Apparently AWS assumes that a header value like '\xff' was encoded with ISO-8859-1 (Latin-1) and re-encodes it in UTF-8 (in this case, becoming '\xc3\xbf') before signing/storing. So, as stupid as it seems, we want something like env[key] = Header(env[key].decode('latin1'), 'UTF-8').encode() Maybe I'll do that as a follow-up patch, though, and fix-up Request._canonical_string at the same time.",0
this should probably be lower cased -- rbac-policy,0
You're overwriting the first rv without looking at it.,0
This has been renamed as save_devices(). Done.,0
"Gotcha, just wanted to clarify.",0
"should pass in a function and the id. e.g. def _delete_credentials(self, id, fn): ... if id != fn(cr): continue then call like self._delete_credentials(project_id, lambda cr: cr['project_id']) then don't need to have the complicated logic below.",0
"According to our latest meeting, which we did not decide on any specific approach, we talked about having something like ""huawei_qos=True, huawei_min_iops=10000, netapp_qos=False"" etc. What you are proposing in this spec is the standard extra specs that would be the same for all vendors, I am not sure if I agree on this approach yet.",0
nit: maybe we should DCHECK(options_.is_none()) first to clarify that this mist only be called once on an Entry.,0
"Yea, but my inclination here would be to not have this #define at all. If this change proves to be performance neutral or better across more than just Caffienemark and we can convince ourselves that suspend coverage is complete, then I'd just do it and remove the existing code. If not, I'd revert this patch. Conditionally compiled modes are an invitation for destructive bit rot.",0
node_power_action is already mocked by L141 -- why are you mocking it again here?,0
"Use err() here, or if we're going to abort anyway, die()",0
I think you should kill this ^ as we already have: same with the others like this.,0
"Did you want to mention something in here about end of life for this tag, or is that not part of the plan?",0
"To sum things up: >>> Are we sure that e will be an instance of HTTPException Yes, I'm sure that e is an instance of HTTPException or its subclasses.",0
Eliminate backslash.,0
"auth_token, auth_uri, tenant_id, username should be removed.",0
we'll need also a render Drawable that receives a Resource Value.,0
if you set ``block_migration``,0
filters should be removed.,0
"jeebus, with this many mocks is this test actually doing anything?",0
into a human-readable message ||| method -> the method,0
"nit: Starting C++11, this could be done directly in the declaration. ( bool have_token = false;)",0
"new tab is activated by default, and you don't need it to be active in this case regardless",0
this looks the firewall_rules table,0
Typo (Ass)ymetric - made my morning! Also slightly confused as to why there isn't a ASYMMETRIC constant defined in the Secret Type class,0
Use `LOCAL_WHOLE_STATIC_LIBRARIES := liblz4` so we don't have to build it twice.,0
attrs = attrs or self.task_attributes_to_copy,0
This seems not so useful/useless; remove it.,0
You stub out self._disk_adapter._copy_image_file...,0
X_ROLE*S*,0
This function is useless and can be removed,0
Should be an elif as device_owner can only be a single value.,0
"This might be a stupid question since I'm not very familiar with how IPMI interoperates with Ceilometer, but isn't resource_id supposed to be ID of the resource that the sample is ""about"", not the ID of the sensor? E.g. shouldn't resource_id here be simply node_uuid, just like 'cpu' meter's resource_id is the ID of the VM?",0
nit: Forward declare app_list::Internal App instead.,0
nit: useless empty line before,0
yes - fields class attribute shadows the import in the class body so you can't do the Dict Proxy Field assignment as a descriptor. This should be changed in all object files really as shadowing like that is dumb and a bug really.,0
Much nicer than the ugly inline javascript html.,0
I think the default value should be an empty object,0
"Sorry, this sentence doesn't make much sense to me. I suggest changing to: ""Combinations of `empty``, ``any_one_of``, ``not_any_of`` [...] cannot be used multiple times withing a CONDITION""",0
"They can call it something else or replace this driver with the new implementation. What library it uses is an implementation detail. Also, kombu is a library which supports multiple messaging systems. We always refer to Open Stack as having a rabbitmq, qpid and zmq drivers ... 'kombu' is a dumb name for the former.",0
if ra_mode and address_mode and ra_mode != address_mode,0
"I have the marginal preference of not using ""dst"" and ""src"" for anything else after they have been casted to ""dst_dm_sec"" and ""src_dm_sec"". This will make it easier in the future to eliminate them and replace the ""char *"" arguments with ""t BTA_DM_SEC *"".",0
fixup! is a git command that gets executed when running git rebase --autosquash. It is not meant to be published that way.,0
this should be a helper function servers By Name[d.server] = dut Test Server(d),0
host_mock.find_vm.assert_called_once_with('baremetal1') ?,0
"When _create_temp_snapshot returns `self.client.get Volume(snap_name)`, the value is mocked out so this call fails. _create_temp_snapshot needs to be mocked to return a snapshot object with {'name': 'osv-0DM4q ZEVSKON-AAAAAAAAA'} to match below, or the client call to get Volume can be mocked to return this dict.",0
getlasterror() will be reset right after this call (as any Win API call may kill it). Cache its value before doing anything else,0
"This is where I think we should have subclassed Host Info to be Numa Host Info or something, and pass that into the connection here. Stabbing our data into it like below is less than desirable I think.",0
"oh look, someone who was calling hash_cleanup_listdir with positional args!",0
"ALWAYS_INLINE, or trust the compiler. inline is mostly meaningless.",0
Initialize last_record_offset_ and last_record_rowid_ too?,0
"Is it possible that the current_network will not have a key that matches? If so, then Index Error.",0
"The compiler gets confused about base::Bind Once(Store Files, {{policy_path, policy_blob}}) with error message ../../base/bind.h:272:25: note: candidate function template not viable: requires single argument 'closure', but 2 arguments were provided I'd have to use base::Bind Once(Store Files, std::map( {{policy_path, policy_blob}})) which is kind of ugly.",0
kill the white space in the comment.,0
"$VALUES is the variable used by the values() implementation. It's what you get if you use reflection on an enum. It's included in the dump as just another property, so I think it's fine to use it.",0
nit: /* read_only */,0
Use `mock_engine.return_value.run.side_effect'.,0
ironic.conductor.utils.node_power_action(),0
"Ah, so here we never update the port, so we must check if the mac address is OK. After this change we always overwrite the mac address and update it to a value that does work. So its actually really dumb what works today. If you happen to pass in a port with a matching mac address, it will work, and we make sure when we create ports we don't use the mac the user passed in. In all other cases we seem to just give up (if the hypervisor has some mac addresses).",0
The opposite of un_scoped! ;) I will add a comment on next respin.,0
I think you mean `tox -e genconfig`,0
please use here self.RESOURCE_DEF,0
"A boring comment about assert Equal(self, expected, observed... Sorry! =)",0
"Mark, sorry but I'm not completely understanding why the fact that testing with an instance object doesn't matter here - to just dumb this down for my own sake, are you saying that once I change conductor.manager.compute_stop to handle instance as a dict (instead of object), this test becomes useful?",0
this is incompliant with python3,0
With this change this TODO is redundant and therefore should be removed.,0
"minor nit, I dislike backslashes here and prefer to indent differently like that : passes = (num_projects < max_projects) or ( project_id in host_state.projects)",0
"What does that mean again??? self.bootloader_params = """" self.bootloader_params = bootloader_params",0
