message,sentiment,origin,emotion
"i hate dev-c++ but because of a library, i have to use it!!! what's the matter for dev-c++ or are there errors in my code about using referance variable? error: 9 c:***\main.c syntax error before '&' token",-1,emothion_gold_standard,anger
"these calls don't do the same thing. as a result, locknow() must be called unconditionally.",-1,SentiCR,
"use a proper sentence, and this routine does more than that, returning encoded version.",0,SentiCR,
"i know its possible to accept a list of objects as a parameter but what about a list of guids from checkboxes? this is a bit different as the only name you get has to be the id. any help would be greatly appreciated, thanks!",0,emothion_gold_standard,love
"i keep finding myself wanting to click on the link that says ""click image to edit"". can we make that part of the link?",0,SentiCR,
that instead should be const sal_unicode* pparseend; because rtl::math::stringtodouble() expects sal_unicode const ** pparsedend at that place. code probably shouldn't even compile like it is.,-1,SentiCR,
"@ryanc: excellent! now i understand what is going on, rather than just thrashing, as before. i think your explanation (about the canvas ignoring `refresh-now` before it is open) is very sensible. (if any racket developers are listening here, it seems a valuable tool would be a way to pause until the frame is ready for action, platform-independent.)",0,emothion_gold_standard,love
"key validation is missing, don't know how you missed that!",-1,GPT,
"when running graphics based programs in python for s60 (pys60) the error messages and the output of the print statement (i.e. stdout) are hidden. if due to an error application stops working as expected its lost and tracking down the bug is very difficult, sometimes require running a ""second stripped version"" of the code. this is obviously painful. how do i log those errors to a file, so that i may see them later.",-1,emothion_gold_standard,anger
bad indent shouldn't it be slerp instead of slerp ? (can't change the cast of acronyms),-1,SentiCR,
this doesn't work properly when the index is negative (e.g. time is before the offset).,-1,SentiCR,
"i have a main flash from wich i load another swf file from the server. from time to time i change the second swf file and want to load a fresh copy from the server. i clean the cache from the browser but my client does not know how to do that and it's a pain to give him directions. if i want to load a fresh copy of the main swf i just add a ""main.swf?version2"" but i can't do that with the loadmovie function in flash. any ideas how i can get a fresh copy from the server without changing the name of the file?",-1,emothion_gold_standard,anger
"unfortunately the smbios uuid is not unique on all systems. it should be but it isn't. this is not because of a failure in the specification of the smbios uuid, but is due to the fact that many manufacturers don't follow the spec when creating this uuid. for more information about how this goes wrong in practice see this intel blog and the following instructive tale has some really awful examples from the real world: . by the way there is another more informative topic on stackoverflow about creating machine unique id's at",-1,emothion_gold_standard,anger
"thanks, everyone! i learned something extremely valuable :d so linux doesn't stop at the 26th value?",0,emothion_gold_standard,love
"regexes are fraught. a regex that splits parameters on commas will get awfully confused if one of the parameters is `\""hello, world!\""`.",-1,emothion_gold_standard,anger
"actually it's not as bad as it looks - perl's file::copy is horribly broken (for example it doesn't copy file permission on unix and other stuff), so many ""high profile"" hackers actually use system('cp', $target, $destination) or similar stuff",-1,emothion_gold_standard,anger
"i'm trying to do this in a makefile and it fails horribly: do you know why? i guess it has to do with escaping, but what and where?",-1,emothion_gold_standard,anger
"use web essentials... it works really great, and has lots of other useful tidbits!",0,emothion_gold_standard,love
"the condition !pprofile->m_bisvalid must always be true here, so rather use sal_warn",0,SentiCR,
wow i frickin love this site! thanks for the quick and concise responses. i plan to keep the client-side regex validation but move the username check to the server-side on submit.,0,emothion_gold_standard,love
"excellent, thanks!",0,emothion_gold_standard,love
"i'm not really liking this name, maybe just 'resources'?",-1,SentiCR,
"ouch. i have a large table, and the row by row insert is very painful",-1,emothion_gold_standard,sadness
"how is determined which of the opcodes is actually taken during import of _xlfn.ceiling.math ? i think that's missing. note that now that we use rid_strlist_function_names_english_ooxml with the formula compiler, the tables in sc/source/filter/oox/formulabase.cxx are only provided for api support (of which we actually don't know if anyone is using it at all). our internal ooxml import/export doesn't use them anymore, so any ""only for import / only for export"" usage needs to be implemented differently.",0,SentiCR,
i wrote a tool to create svg maps : which also has a world map that you can customize to your liking: hope this will help you or any other folks who are after a customizable world map!,0,emothion_gold_standard,joy
"i don't think so. i am not familiar with where they make a difference, but it looks like an intentional special mac case (see macmessages and canshowmacsheetpanel). i suspect this works fine after the general ui is up and running - and that the problem here is a side effect of being the first frame.",-1,SentiCR,
you need to add more meaningful comments—this code is difficult to follow.,-1,GPT,
"imho multi-core processors are still so rare, and threading is such a horrible and hairy and dangerous place to go, that you're just better off sticking to one thread.",-1,emothion_gold_standard,anger
"this has nothing to do with but everything to do with the absolutely awful markup of your html and the lack of . you're going to want to wrap all of this ""free-text"" inside of a or two, and then make sure you're putting the inside of the sample css: html:",-1,emothion_gold_standard,anger
"hi barney, i think @edmorton 's answer is pretty pretty more powerful than my comment!",0,emothion_gold_standard,love
"i have two loops running in my code, i want to use an element from an array as the key in a second array, but am unsure how to do this with smarty. """" contains an integer (pulled from the db) i want to use that value as the key in a second loop, which runs fine if i harcode in the integer: pseudo code for the sort of thing i've been trying is: but of course, this doesn't work! can anybody help?",-1,emothion_gold_standard,sadness
offtopic: why the hell do you apply the regexp only to the first 4 characters of the user agent? this is going to fail horribly in most cases.,-1,emothion_gold_standard,anger
are we sure the the same set of changes are not required for other daemons as well?,-1,SentiCR,
"to expand on my comment, if you don't already see then benefits of relative positioning then i'll assume you are a begginer. here is a useful video to help you re-design you page: also, this is useful for comparing when each positioning method is best used: and finally a general website that will be extremely useful for you in the near future may be !",0,emothion_gold_standard,joy
"i don't have whois installed on my server (apparently it's in the works but no real news on it). i was wondering if anybody knew a way to emulate the functionality of it though. i figured i'd be posting some data to a url but i don't know what, or where. basically i'm at a complete loss, and would appreciate any help or even something that i could look into.",-1,emothion_gold_standard,sadness
so to do this i would keep a list of axes and when i delete the contents of one i would swap it out with a full one. i think the example below solved the problem (or at least gives an idea of how to solve it): the extremely ugly for loop construct is really just a placeholder to give an example of how the axes can be swapped.,-1,emothion_gold_standard,anger
"claims to: export balsamiq mockups to html/css/js and adobe flex 3 at a click of a button. balsamiq's perfect companion no coding skills required pays for itself after one use if it really ""works"" napkee could be extremely useful. does napkee work as advertised? what is the quality of the exported html? is it a must-have companion to balsamiq (which i love)?",0,emothion_gold_standard,love
hmm...vs is telling me this is already a string? guess it's lying!,-1,emothion_gold_standard,anger
"any progress on this one? to embed complex functionality (including history-aware interactivity) on an mvc page without involving the rest of the page is a reasonable and common desire. the only alternative i see, to require the using page to track each components query-string state, is horrible.",-1,emothion_gold_standard,anger
"i am currently having some difficulties trying converting a unicode character string (dt_wstr) into an int this is what i have (note most writings are in german, but i think someone who has worked with ssis will unterstand anyways) data type selected: a four-byte, unsigned integer.but all it does is fail terribly",-1,emothion_gold_standard,anger
i think this'll be what i'm going to go with. i really hate dealing with xml files.,-1,emothion_gold_standard,anger
"i was intending on use the title attribute in the @page directive to customise each pages title, but it simply doesn't appear to do anything. the site uses master pages - i don't know if that is a consideration. master page snippet: page snippet (from ): what is more, if i run the page through the , it complains about... end tag for ""head"" which is not finished ..whereas the the tag is present in the source code. i've already got a workaround in place, but it's annoying the hell out of me, so i'm determined to find a resolution!",-1,emothion_gold_standard,anger
@crush oh man would that be painful to query on!,-1,emothion_gold_standard,anger
@brant - no worries!,0,emothion_gold_standard,love
i added an example of how to use the wraptext function. good luck with your project!,0,emothion_gold_standard,joy
"this is device init path, is not it? so changing the od_track_declares after the fact would not retroactively enable this feature? we might as well change it to a module parameter then if this is the way we want to go?",-1,SentiCR,
"instead of relying on timeout-based synchronization (`sleep` calls), use proper synchronization mechanisms like locks, semaphores, or event listeners. sleep-based synchronization is unreliable and leads to unnecessary delays in execution.",-1,GPT,
"this is sad, i told you how to handle raw packets, and i only got 3 votes, while the accepted answer has 8 votes and basically didn't answer the question...",-1,emothion_gold_standard,anger
"done, added qt_deprecated_since check, and changed to qt_deprecated",0,SentiCR,
"it's horrible! no, seriously, i don't like it.",-1,emothion_gold_standard,anger
"i am currently a college student and i don't feel that any of my classes have touched on the software development life cycle (sdlc) nearly enough. i've been interning a company for a few years and i've been learning about sdlc from the internship, but i wanted to poll the crowd so i can branch out from that. what sldc resources (books, websites, magazines, newsletters, etc.) do you use?",-1,emothion_gold_standard,sadness
what an amazingly great answer. way to go cody!,0,emothion_gold_standard,love
doesn't mean nothing. you have to use,-1,emothion_gold_standard,anger
i remember 'url' was the suggested one but url class itself was all upper case so i was in between. i'm changing it to fromurl.,0,SentiCR,
"this-> typedef ""char"" named concept. hard coded ""0""",0,SentiCR,
"excellent, thank you! i did not now that.",0,emothion_gold_standard,love
"in my company, we are currently using qt and are very happy with it. i personnally never had to move a mfc-app into using the qt framework, but here is something which might be of some interest for you : it's part of qt-solutions, so this means you'll have to buy a qt license along with a qt-solutions license. (edit: ) i hope this helps !",0,emothion_gold_standard,love
"i agree with thomas. we should benchmark if it doesn't make a measurable difference, we should get rid of the customization if that's the only reason for us to have this file. i expect by now more time has been spent optimizing the jdk's hashmap than has been spent on com.google.gwt.dev.util.collect.hashmap. :)",0,SentiCR,
no worries! ie11 does a poor job of emulating other browser versions.,0,emothion_gold_standard,love
upvoted scared the hell out of me when things stopped working!!,-1,emothion_gold_standard,anger
"this xdata is the response dict, i think you need to use xdata which is received in marker_rename",0,SentiCR,
i agree with the above comment ... the above logic change should be in a separate patch than the channel handling,0,SentiCR,
managing url paths can be a real pain in asp.net. absolutepath vs relativepath vs etc. drives me crazy. i find that many solutions require the user to edit web.config element to include the correct subfolder path; ex. website root: web.config setting: / website root: web.config setting: /blog/ is there a way to properly handle this without having to make changes to the web.config?,-1,emothion_gold_standard,anger
using a direct english string here means it can't be translated :-( you can do a grep for e.g. rid_svxstr_load_error for a sample trivial translatable string example you can follow to get a translatable string here,-1,SentiCR,
i hate it none of the specified answers worked for me....,-1,emothion_gold_standard,anger
this should do it (it's not quite a one-liner i'm afraid):,-1,emothion_gold_standard,sadness
worked great for me - thanks!,0,emothion_gold_standard,love
* bumping the schema number forces a reindex to pick up the new file format. * lucenechangeindex has: this.usedocvaluesforsorting = schema.getversion() >= 16;,0,SentiCR,
"ignoring how ridiculously lame it is to ask a question and answer it in this fashion seconds later, this is an awful answer, and that is why it is voted down. why will you only see a small speedup? can you provide numbers? platforms tested on? this answer is even more vague than the original question, which was vague to begin with.",-1,emothion_gold_standard,anger
"this was annoyingly annoying... if you have a the need to export your regexbuddy history you can take a look at , which prints to the console your history, also as json.",-1,emothion_gold_standard,anger
since all tng constants in the header are prefixed with tng i think it could be nice to just call this variable api_version and then use tng_api_version in tng_io.cpp and switch the names in version.h.in.,0,SentiCR,
"if you're looking for a free alternative to red gate's most excellent sql compare, you might want to check sqldbdigg made by . it's what i used until i caved and bought sql compare.",0,emothion_gold_standard,love
"that's just a 16 character requirement with an optional 2 character afterwards: the parentheses may not be required - i'm not enough of a regex guru to know offhand, i'm afraid. if anyone wants to edit it, do feel free...",-1,emothion_gold_standard,sadness
"lambdas automatically 'suck' in local variables, i'm afraid that's simply how they work by definition.",-1,emothion_gold_standard,sadness
furthermore if you need to look at the .net/unmanaged stack just donwload and look at your w3wp.exe processes to examine memory and other stats without having to do a remote/local debugging (just look at the .net tab on the properties of the process). it will show all the .net performance counters for that particular process. awesome tool!,0,emothion_gold_standard,love
"@gap: no, i never wrote the helper class, i'm afraid.",-1,emothion_gold_standard,sadness
"i'm new to ror and am finding the scattered documentation extremely frustrating! when the commands rails generate model or rails scaffold are any fileds automatically created. i'm thinking here about the id field in particular. additionally, could anyone point me to the documentation which specifies this?",-1,emothion_gold_standard,anger
"yeah, it's definitely annoying!",-1,emothion_gold_standard,anger
"@michael: dude, i feel your pain (since my howto search led me here).",-1,emothion_gold_standard,sadness
"the edge cases are not properly handled, which could lead to unexpected behavior. you must be considering this",-1,GPT,
after reading i was horrified! isn't there a tool out there that can inspect a .h/.cpp file and deduce what dependencies could be waivered?,-1,emothion_gold_standard,anger
"ryan oberoi makes an excellent suggestion, but it's a bit overkill for my small asp.net mvc web application. i like lobstrosity's idea since it could apply to any class tag and its short and simple... just what i need. both are good answers yet one solves the general question (involving a css framework) and the other one solves my specific need... i guess i should select ryan's response as the solution as it would probably help others more... any suggestions?",0,emothion_gold_standard,love
"ok, i find the reason: device won't answer to simple user (and doesn't matter what permissions did you ask in program manifest). you can directly speak to device only if you are root (or from kernel mode). that means you cannot use devices directly from general applications. very sad :(",-1,emothion_gold_standard,sadness
please change it to ws_info_t *ws_info = null;,0,SentiCR,
"there are still several rows for the distinct blocks and up to one separate row with no related block element, so we still need the gorup by clause",0,SentiCR,
@rachel - excellent! good job they didn't use all lower case then - not sure if there would be any way round that.,0,emothion_gold_standard,love
@bearnd you're probably referring to the idea of returning the normalized location of the face (instead of the absolute coordinates in pixels)... i think we can take care of this in a subsequent patch; and it's not immediately clear whether it will simpli,0,SentiCR,
"com components are really a pain to manage, update, versioning, etc.",-1,emothion_gold_standard,anger
"stylecop has rules that seem to differ from ms's prior style guides. for example, stylecop hates m_ and _ for prefixs to private members. also, the vs default code generation violates stylecop by putting using statements outside the namespace. *sigh*",-1,emothion_gold_standard,anger
"i was wondering if there was somewhere i could get some starter kit / theme sample for asp.net. i am not a designer, but i need to build a prototype for a project, and if i do it myself it'll certainly be awful do you know where i could find that (asp.net specific)?",-1,emothion_gold_standard,sadness
"> can we have 32-bit processes calling into a 64-bit bufferqueue or vice-versa? the 32-bit process would be calling in to a different bufferqueue, right?",0,SentiCR,
"ack, yeah, that was my first way of fixing the original warning, but when i looked over the class more, i realised just removing the checks would be better... will fix.",0,SentiCR,
"excellent, thanks!",0,emothion_gold_standard,love
"patch set 1: i would prefer that you didn't submit this hi ananth, i agree with markus that i'm in favor of not merging this. what xml parser ate you using that is not capable of empty, closing tags? esp. if you set the html tendering mode to xhtml, the output is a subset of xml. if you need to have empty closing tags replaced by q dedicated closing tag for a special use case, you could ask on to figure out a solution for you. i'm confident that it's possible, however i would not change typo3's default behavior. thanks for your understanding. yours steffen",-1,SentiCR,
your unit tests don’t cover all possible scenarios. you must add more cases,-1,GPT,
"deleting files in xcode does not delete them from installed apps/build folders/etc. it's extremely annoying. if you really want your app to only run in 3.5 inch mode, delete the default-568 file and make sure to run clean/clean build folder in xcode, and delete the app completely off your simulator/device. it should start showing up letterboxed again. apple is still accepting 3.5in only submissions.",-1,emothion_gold_standard,anger
should the output of this filter always be real? this cast seems like is should be done outside this filter. if it's required it may be able to be done in-place for some situations.,0,SentiCR,
oh right the $ to global is a nicer idea. i have just removed jquery statement and did not add the global. that is just a few errors and they do need fixing.,0,SentiCR,
"@kev its a deployment headache, you can ilmerge it in ... but still its an extra bit of luggage you need to worry about",-1,emothion_gold_standard,anger
@adrian - that article was brilliant :d thanks for sharing it!,0,emothion_gold_standard,love
"how is 'bbox' supposed to be encoded for transmission over currently its encoded as a javascript array, which is probably why its not behaving as expected.",-1,SentiCR,
why are you using cerr here instead of vtkerrormacro?,-1,SentiCR,
no answer yet.... sad =(,-1,emothion_gold_standard,sadness
"ah, 400 million is a much less scary number!",0,emothion_gold_standard,joy
"the problem that i am having is while designing an email to be sent to users the border of the html table is not disappearing even though it is set to 0 and so leaves horrible white lines through areas which are menu to be solid blue colors, below is my html code! untitled document",-1,emothion_gold_standard,anger
for java see this excellent article,0,emothion_gold_standard,love
"i have an application where i need to adjust view position according to current focused subview (it's a list with focusable items, current focused item must be in the center of the screen - used for a tv application controlled from tv remote). position must be adjusted with animation. i got it working with just one problem: if the user changes focus before the animation is complete (quickly taps ""up"" button twice) next animation starts with ""jump"" - it starts from the same position as did the first one. so what i try to do is i cancel previous animation and start another, but then new animation starts from the point where first animation was started, so user can see a very obvious jumps in the animation, which look really awful. here's the code: so must question is: how can i start translate animation from the point where previous translate animation left on (assuming that it was cancelled)? or, in a simplier words, how can i determine current visible rect of a view?",-1,emothion_gold_standard,anger
"this beforetest block is used all over the place in the tests, we just try to get it to a clean state.. its slow but it works :/",-1,SentiCR,
"inline comments should clarify the logic, not repeat what the code already states. these comments are redundant and should be removed.",-1,GPT,
"i understand you do this so that gf_free() under the out: label does not free the acl_xattr. the dict_unref() will call gf_free() already. is there a need for gf_free() in out: at all? i think that only is useful for the error case when dict_set_bin() failed. it would be cleaner, and easier to understand if you do the gf_free(acl_xattr) above in the 'if (ret)' statements. there is no need for this 'acl_xattr = null' then anymore. if you do not like that approach (or if i missed something that makes it impractical), this 'acl_xattr = null' stetment desperately needs a comment.",-1,SentiCR,
"ibeleive a more efficient algorithm exists for this operation, maybe somebody with more experience in java can help you with this.",-1,GPT,
"can somebody point me to a resource that explains how to go about having 2+ iis web server clustered (or webfarm not sure what its called) ? all i need is something basic, an overview how and where to start. can't seem to find anything...",-1,emothion_gold_standard,sadness
"@david, apologies - but at least one of them made sense (i hope!) :-)",-1,emothion_gold_standard,sadness
you should look into the sdl library () as it supports multiple platforms and has bindings for a variety of programming languages. it also supports opengl. good luck!,0,emothion_gold_standard,joy
excellent! thanks for the link.,0,emothion_gold_standard,love
"adding `// fix later` comments doesn’t help anyone. if the issue is critical, fix it now. otherwise, remove the comment.",-1,GPT,
"do we any chance to detect whether the call was made from outside the typo3 namespace? otherwise we'll get lots of deprecations if we call a public method from another class in core, which is public but not part of the api.",0,SentiCR,
wow! that was an astoundingly fast and informative response by all! i am very impressed. i will add a couple more comments below. thanks all!,0,emothion_gold_standard,love
"already defined here: basicfileutility::$tempfn there is a @todo for this attribute to change it to ""visible"". as static?",0,SentiCR,
probably has something to do with the unbearable bugginess of the telerik radcontrols suite,-1,emothion_gold_standard,anger
"i thought the point of the platform file is to make it easier by requiring only one option. of course the user can also simply use ""cc=icc cxx=icpc cflags=-mmic cxxflags=-mmic"". if i don't specify the compiler then what's the point of having a platform file at all? i'm pretty sure gcc will never support the mic vector instructions (compiling with gcc works but is of course useless without the vector instructions). and it seems also very unlikely that clang will ever support it.",-1,SentiCR,
you might want to look into jaxb. if you have a defined xml schema it will automatically create java classes that will easily allow you to 'marshal' (move data from java -> xml) and much much more. it's incredibly useful!,0,emothion_gold_standard,love
"it would be useful to add a short comment here with the kernel version in which this api changed, so that it is easier to clean up later.",0,SentiCR,
this does seem to be the answer. absolutely terrible api design.,-1,emothion_gold_standard,anger
"various tests won't link if i leave the macros out. f.e. tst_qpropertyanimation, tst_qitemmodel, tst_qsettings, ...",0,SentiCR,
"this is excellent! thanks dustin, that's exactly what i was looking for!",0,emothion_gold_standard,love
"achild is a ondxpageptr which is derived from sv_decl_ref(ondxpage) which has an ""ondxpage & operator*()"" but the old code called operator<<(ondxpageptr&) which does something different than the ondxpage& one!",0,SentiCR,
the ide feature does not provide any team dependent plug-ins any longer but it makes sense to keep the dependency. i didn't realize that team.ui contributed a bunch of functionality that doesn't necessarily require a mylyn team extension.,0,SentiCR,
this question is awfully vague.. and doesn't seem to have anything to do with programming..,-1,emothion_gold_standard,anger
excellent i was not aware of this!,0,emothion_gold_standard,joy
i have created a new project using core data then copied all of the app delegate code for core-data that i need over into my current projects app delegate.. my appdelegate.m looks like this now. my questions are as follows is the urlforresource in this part of the code ment to reflect the name of my xcdatamodeld that i have created? with the urlbyappendingpathcomponent: do i have to create a sqlite database called code.sqlite or is this made automatically for me by the core-data code? what is the purpose of this method exactly? any help or tips would be really awesome!,0,emothion_gold_standard,love
got it: i need to reference the class types through the createjs module. i.e. works absolutely fine!,0,emothion_gold_standard,joy
you could use an incredibly ugly workaround and set a form full of hidden fields to submit when you click a link. i really wouldn't recommended it though.,-1,emothion_gold_standard,anger
"too slow and i prefer to operate in the same mode as my users. also, i just really hate switching to debug. and its a waste of diskspace.",-1,emothion_gold_standard,anger
function is returning a guint. what's the intent of value -1? are there cases where we cannot find the dnp header immediately?,0,SentiCR,
"i have a script in which i need to process a file using ajax. everything in the script works, except i can not get the right variable. i have tried everything and i currently have this in its place i was wondering if anyone could tell me how to successfully set whatever is in this field as a variable in the ajax script that i have. all help is extremely appreciated, thanks for the help!",0,emothion_gold_standard,love
"the answer does not establish the same 's as adding directly to the ajax call. so in order for jquery to do this properly i add this : where is a global variable. unfortunately, i have to write this extra line on every single ajax call. terrible! maybe i'll edit the jquery framework to handle this..",-1,emothion_gold_standard,anger
"great answer - this code works like a charm on mac osx! :-) doing a few settings up front removes code duplication when accessing settings from many places, see ",0,emothion_gold_standard,love
"there should be some separation of code from the rest of the text, even if it's clear that it's a url, to ensure that nobody gets the idea to translate it. may be enough, but having quotes, too, is a good idea.",0,SentiCR,
this is very fine :) note that if you do the following: only the first element of the array will be initialized with the non-zero number whereas the rest will be initialized with zeros.,0,emothion_gold_standard,joy
please don't do that keep the if (condition) stmt structure,0,SentiCR,
i'm adding the roles provider to the built in accountmodel but having some problems adding getallroles in my view using the register view model. view model from accountmodel roles service added to accountmodel register view page inherits registermodel i'm not sure how to populate the dropdown list with all the roles from the view model. any help would be really great!!,0,emothion_gold_standard,love
"why are you so afraid of an asynchronous solution? wouldn't this by definition need to be on a separate thread? remember this is a tcp connection, so you do essentially have to wait for a response before you can send your request.",0,emothion_gold_standard,love
"i absolutely hate cluttered seed files. admittedly, it's a personal preference and not a right or wrong. here's what i did in my app at work to handle the significant volume of seed data we are required to use: my seeds.rb file: a sample seed file in the seeds/ folder: this has the effect of loading our seed files in the desired order (using 01_ then 02_, etc.). it also breaks up our seeds into logical groupings and organizes them in such a way that, for our team, we can more easily manage them.",-1,emothion_gold_standard,anger
"i have two classes, a gui and a customer class. the gui builds the frame and button, and the customer class gets the info from a database server. i have the actionperformed in the customer class, but it doesn't appear to be noticing when i click the button. any help is extremely appreciated! gui class: customer class:",0,emothion_gold_standard,love
that is really sad :(,-1,emothion_gold_standard,sadness
"can anyone help me to delete row of plist. here is , is , is and is . any help would be extremely appreciated :)",0,emothion_gold_standard,love
"what is the difference between and similarly and it is really painful when i align the controls with and when i try to align in the design mode it adds the , how to prevent auto adding property to a control while aligning it, as i already defined the to it why it doesn't update the same property. its really irritating when we want to do animation on controls, it reverses the direction of animation",-1,emothion_gold_standard,anger
"it seems to me that this operation is not optimal as it would try to find a number in a list, while you only need to check it against 0, 4095 boundaries.",-1,SentiCR,
"the search term on both stackoverflow and pinvoke.net yields zero results, so this should be worth asking. i've been fiddling around on msdn and looking through win sdk *.h files all day, and feeling a bit out of my element. i'm basically attempting to query the msrpc endpoint mapper with managed code. here is what i have so far: the above code isn't complete, but it illustrates my point. the code consistently returns: rpcmgmtepeltingnext: 87 87 meaning parameter is incorrect according to . so i'm basically stumped at this point, and i'm sure it's because of my extremely crappy pinvoke code.",-1,emothion_gold_standard,anger
